Key	Korean	English
VisionTool.MatchingGuide.EdgeSuccessNext	엣지 박스와 출력 레이어를 확인한 뒤 파이프라인에 추가	Check edge boxes and the output layer, then add to pipeline
VisionTool.MatchingGuide.FeatureSuccessNext	특징 박스와 출력 레이어를 확인한 뒤 파이프라인에 추가	Check feature boxes and the output layer, then add to pipeline
VisionTool.MatchingGuide.FailureNext	템플릿 ROI, 최소 점수, 매칭 개수를 조정하고 다시 미리보기	Adjust template ROI, min score, and match count, then run preview again
VisionTool.MatchingGuide.EdgeFailureNext	템플릿 ROI, Canny 범위, 최소 점수, 매칭 개수를 조정하고 다시 미리보기	Adjust template ROI, Canny range, min score, and match count, then run preview again
VisionTool.MatchingGuide.FeatureFailureNext	특징 템플릿, Ratio, RANSAC 허용 오차를 조정하고 다시 미리보기	Adjust feature template, ratio, and RANSAC tolerance, then run preview again
VisionTool.MatchingReview.NoCandidateReason	현재 기준을 통과한 후보가 없습니다.	No candidate passed the current criteria.
VisionTool.MatchingReview.EdgeNoCandidateReason	현재 Canny/점수 기준을 통과한 엣지 후보가 없습니다.	No edge candidate passed the current Canny/score criteria.
VisionTool.MatchingReview.NoCandidateNext	템플릿 재등록, ROI 조정, 최소 점수 조정 후 다시 미리보기	Re-register the template, adjust ROI or min score, then run preview again
VisionTool.MatchingReview.EdgeNoCandidateNext	템플릿 ROI, Canny 범위, 최소 점수, 매칭 개수를 조정하고 다시 미리보기	Adjust template ROI, Canny range, min score, and match count, then run preview again
VisionTool.MatchingReview.ScoreFailReasonFormat	최고 점수 {0:0.###}가 기준 {1:0.###}보다 낮습니다.	Best score {0:0.###} is below the criteria {1:0.###}.
VisionTool.MatchingReview.EdgeScoreFailReasonFormat	최고 엣지 점수 {0:0.###}가 기준 {1:0.###}보다 낮습니다.	Best edge score {0:0.###} is below the criteria {1:0.###}.
VisionTool.MatchingReview.CountFailReasonFormat	검출 {0}개가 요구 {1}개보다 적습니다.	Detected count {0} is below the required {1}.
VisionTool.MatchingReview.EdgeCountFailReasonFormat	엣지 후보 {0}개가 요구 {1}개보다 적습니다.	Edge candidate count {0} is below the required {1}.
VisionTool.MatchingReview.SuccessReason	점수와 개수 기준을 통과했습니다.	Score and count criteria passed.
VisionTool.MatchingReview.EdgeSuccessReason	엣지 점수와 개수 기준을 통과했습니다.	Edge score and count criteria passed.
VisionTool.MatchingReview.SuccessNext	결과 박스와 출력 레이어를 확인한 뒤 파이프라인에 추가	Check result boxes and the output layer, then add to pipeline
VisionTool.MatchingReview.EdgeSuccessNext	엣지 박스와 출력 레이어를 확인한 뒤 파이프라인에 추가	Check edge boxes and the output layer, then add to pipeline
VisionTool.MatchingReview.FailureNext	템플릿 ROI, 최소 점수, 매칭 개수를 조정하고 다시 미리보기	Adjust template ROI, min score, and match count, then run preview again
VisionTool.MatchingReview.EdgeFailureNext	템플릿 ROI, Canny 범위, 최소 점수, 매칭 개수를 조정하고 다시 미리보기	Adjust template ROI, Canny range, min score, and match count, then run preview again
VisionTool.MatchingReview.FeatureNoCandidateReason	Ratio/RANSAC 기준을 통과한 특징 후보가 없습니다.	No feature candidate passed the current Ratio/RANSAC criteria.
VisionTool.MatchingReview.NoCandidateCause	원인 후보: 템플릿이 너무 크거나 ROI가 맞지 않거나 대비가 낮거나 최소 점수가 높습니다.	Cause candidates: template too large, ROI mismatch, low contrast, or min score too strict.
VisionTool.MatchingReview.EdgeNoCandidateCause	원인 후보: Canny 범위, 엣지 대비, 템플릿 ROI, 최소 점수, 매칭 개수를 확인하세요.	Cause candidates: Canny range, edge contrast, template ROI, min score, or match count.
VisionTool.MatchingReview.FeatureNoCandidateCause	원인 후보: 특징 텍스처, 템플릿 ROI, Ratio, RANSAC 허용 오차, 이미지 블러를 확인하세요.	Cause candidates: feature texture, template ROI, Ratio, RANSAC tolerance, or image blur.
VisionTool.MatchingReview.ScorePassFormat	최고 점수 {0:0.###} >= {1:0.###}	Best score {0:0.###} >= {1:0.###}.
VisionTool.MatchingReview.EdgeScorePassFormat	최고 엣지 점수 {0:0.###} >= {1:0.###}	Best edge score {0:0.###} >= {1:0.###}.
VisionTool.MatchingReview.FeatureScorePassFormat	특징 점수 {0:0.###} 통과	Feature score {0:0.###} passed.
VisionTool.MatchingReview.CountPassFormat	검출 {0}/{1}개	Detected {0}/{1} matches.
VisionTool.MatchingReview.AngleResultFormat	각도 탐색 결과 {0:0.###}도	Angle search result {0:0.###} deg.
VisionTool.MatchingReview.ScaleResultFormat	배율 탐색 결과 {0:0.###}	Scale search result {0:0.###}.
VisionTool.MatchingReview.MultipleCandidateRisk	여러 후보가 통과했습니다. 반복 패턴이면 ROI를 좁혀 오검출을 줄이세요.	Multiple candidates passed; check repeated patterns and narrow the ROI if false positives appear.
VisionTool.MatchingReview.PyramidReviewHint	피라미드 제안은 속도 옵션입니다. 최종 박스는 원본 이미지에서 확인하세요.	Pyramid proposal is a speed aid; verify final boxes on the original image.
VisionTool.MatchingReview.ScoreFailCause	원인 후보: 템플릿이 너무 크거나 조명이 달라졌거나 ROI가 넓거나 최소 점수가 높습니다.	Cause candidates: template is too large, lighting changed, ROI is too wide, or min score is too strict.
VisionTool.MatchingReview.EdgeScoreFailCause	원인 후보: 엣지 대비가 약하거나 Canny 범위가 좁거나 ROI에 방해 패턴이 있습니다.	Cause candidates: edge contrast is weak, Canny range is too narrow, or ROI contains distractors.
VisionTool.MatchingReview.CountFailCause	원인 후보: ROI가 좁거나 최소 점수가 높거나 템플릿 대비가 부족합니다.	Cause candidates: ROI is too small, min score is high, or template contrast is insufficient.
VisionTool.MatchingReview.EdgeCountFailCause	원인 후보: 검색 ROI가 좁거나 검색 간격이 크거나 엣지 모델 포인트가 부족합니다.	Cause candidates: search ROI is too small, search step is too coarse, or edge model points are insufficient.
VisionTool.MatchingReview.FailureReason	매칭 실패: 템플릿 ROI, 최소 점수, 대비, 매칭 개수를 확인하세요.	Matching failed; check template ROI, min score, contrast, and match count.
VisionTool.MatchingReview.EdgeFailureReason	엣지 매칭 실패: Canny 범위, 엣지 대비, ROI, 최소 점수를 확인하세요.	Edge matching failed; check Canny range, edge contrast, ROI, and min score.
VisionTool.MatchingReview.FeatureFailureReason	특징 매칭 실패: Ratio, RANSAC 허용 오차, 템플릿 텍스처, 이미지 블러를 확인하세요.	Feature matching failed; check Ratio, RANSAC tolerance, template texture, and image blur.
VisionTool.MatchingReview.FeatureSuccessReason	Ratio/RANSAC 기준과 특징 기하가 통과했습니다.	Feature geometry passed the Ratio/RANSAC criteria.
VisionTool.MatchingReview.FeatureSuccessNext	특징 박스와 출력 레이어를 확인한 뒤 파이프라인에 추가	Check feature boxes and the output layer, then add to pipeline
VisionTool.MatchingReview.FeatureFailureNext	특징 템플릿, Ratio, RANSAC 허용 오차를 조정하고 다시 미리보기	Adjust feature template, Ratio, and RANSAC tolerance, then run preview again
VisionTool.LineReview.EdgeSuccessFormat	라인 {0}개 / 엣지점 {1}개 / 피팅 길이 {2:0.#} px	Lines {0} / edge points {1} / fit length {2:0.#} px.
VisionTool.LineReview.EdgeSuccessHint	엣지점이 검출되었습니다. 파이프라인 추가 전 피팅 라인 길이와 안정성을 확인하세요.	Edge points were found; check fitted line length and stability before adding to the pipeline.
VisionTool.LineReview.MeasureSuccessHint	엣지 지지가 확인되었습니다. 측정 모드는 Line A 스캔 라인과 Line B 엣지의 거리를 비교합니다.	Edge support was found; distance mode will compare Line A scan lines with Line B edges.
VisionTool.LineReview.IntersectionLineSuccessHint	라인 후보가 검출되었습니다. 교차 모드는 Line A/B 피팅 라인이 만나는지 확인합니다.	Line candidates were found; intersection mode checks whether the fitted Line A/B pair crosses.
VisionTool.LineReview.EdgeFailureCause	원인 후보: ROI, 대비, 극성, 임계값, 스캔 각도, 샘플링 간격을 확인하세요.	Cause candidates: ROI, contrast, polarity, threshold, scan angle, or sampling interval.
VisionTool.LineReview.MeasureFailureCause	원인 후보: Line A/B ROI, 스캔 방향, 극성, 대비, 샘플링 간격을 확인하세요.	Cause candidates: Line A/B ROI, scan direction, polarity, contrast, or sampling interval.
VisionTool.LineReview.DistanceSuccessWithMmFormat	거리 {0:0.#} px / {1:0.###} mm / 검출 {2:0}개	Distance {0:0.#} px / {1:0.###} mm / detected {2:0}.
VisionTool.LineReview.DistanceSuccessHint	Line A/B 스캔 방향에서 엣지 간 거리를 측정했습니다.	Line A/B scan directions produced a measurable edge-to-edge distance.
VisionTool.LineReview.DistanceFailureCause	원인 후보: Line A/B ROI, 스캔 방향, 극성, 대비, 샘플링 간격을 확인하세요.	Cause candidates: Line A/B ROI, scan direction, polarity, contrast, or sampling interval.
VisionTool.LineReview.IntersectionSuccessHint	Line A/B 피팅 라인이 교차했습니다. 교차점 위치와 엣지 지지를 확인하세요.	Line A/B fitted lines crossed; check the point position and edge support.
VisionTool.LineReview.IntersectionFailureCause	원인 후보: Line A/B 엣지 누락, 평행한 피팅 라인, ROI 불일치, 낮은 대비를 확인하세요.	Cause candidates: missing Line A/B edges, parallel fitted lines, ROI mismatch, or low contrast.
VisionTool.Preset.Title	추천 프리셋	Recommended presets
VisionTool.Preset.Detail	프리셋은 PropertyGrid 값만 바꿉니다. 미리보기로 검증하세요.	Choose a starting point. It updates PropertyGrid values only; run Preview to verify.
VisionTool.Preset.AppliedDetailFormat	{0} 적용됨 / 미리보기로 검증하세요.	{0} applied. Run Preview to verify.
VisionTool.Preset.MenuToolTip	추천 프리셋 선택	Choose recommended preset
VisionTool.Preset.Basic	기본	Basic
VisionTool.Preset.Fast	빠른	Fast
VisionTool.Preset.Precise	정밀	Precise
VisionTool.Preset.Matching.Basic.Description	고정 대상 첫 검사: 최상위 1개 후보, 각도/배율 탐색 끔	One best match, no angle or scale search. Good first check for fixed parts.
VisionTool.Preset.Matching.Fast.Description	빠른 확인: 작업 배율 축소, 엄격한 1개 후보	Lower work scale and one strict match. Use for quick screening before tuning.
VisionTool.Preset.Matching.Precise.Description	정밀 확인: 후보 3개, 좁은 각도 탐색 사용	Three candidates with a narrow angle search. Use after template position is stable.
VisionTool.Preset.EdgeMatching.Basic.Description	엣지 기본 검사: 안전한 Canny와 2px 검색 간격	One edge match with safe Canny and 2 px search step.
VisionTool.Preset.EdgeMatching.Fast.Description	빠른 엣지 확인: 모델 포인트 축소, 거친 검색, 엄격한 점수	Fewer model points, coarse search, and strict score for quick screening.
VisionTool.Preset.EdgeMatching.Precise.Description	정밀 엣지 확인: 더 많은 포인트, 1px 검색, 좁은 각도와 하이브리드 검증	More edge points, 1 px search, narrow angle scan, and hybrid verification.
VisionTool.Preset.FeatureMatching.Basic.Description	특징 기본 검사: 균형 잡힌 Ratio와 RANSAC 허용 오차	Balanced ratio and RANSAC tolerance for first verification.
VisionTool.Preset.FeatureMatching.Fast.Description	빠른 특징 확인: 더 느슨한 Ratio와 넓은 기하 허용 오차	Looser feature ratio with wider geometry tolerance for quick checks.
VisionTool.Preset.FeatureMatching.Precise.Description	정밀 특징 확인: 더 엄격한 Ratio와 좁은 기하 허용 오차	Stricter feature ratio with tighter geometry validation for final tuning.
VisionTool.Preset.Blob.Basic.Description	Blob 기본 검사: 중간 면적 기준과 단순 이진화로 시작	Start with thresholded bright/dark regions and a medium area filter.
VisionTool.Preset.Blob.Fast.Description	Blob 빠른 검사: 작은 노이즈를 무시하도록 면적 기준을 높임	Ignore small noise with a larger area floor and simple thresholding.
VisionTool.Preset.Blob.Precise.Description	Blob 정밀 검사: 작은 영역도 보도록 면적 기준을 낮추고 적응형 이진화 사용	Keep smaller regions and enable adaptive thresholding for uneven lighting.
